  JENDL-4.0 NFY Fm255                                                0         0
 1.501850-3 9.611870-4 3.809500+4 0.000000+0 1.699800-3 1.087870-39936 8454  214
 3.809600+4 0.000000+0 1.296640-3 8.298530-4 3.809700+4 0.000000+09936 8454  215
 8.308100-4 5.317180-4 3.809800+4 0.000000+0 2.079380-4 1.330800-49936 8454  216
 3.809900+4 0.000000+0 3.803870-5 2.434480-5 3.810000+4 0.000000+09936 8454  217
 4.058160-6 2.597220-6 3.810100+4 0.000000+0 2.877350-7 1.841500-79936 8454  218
 3.810200+4 0.000000+0 1.031880-8 6.604050-9 3.810300+4 0.000000+09936 8454  219
 1.439010-9 9.20973-10 3.810400+4 0.000000+0 3.21478-12 2.05745-129936 8454  220
 3.810500+4 0.000000+0 2.48823-13 1.59247-13 3.810600+4 0.000000+09936 8454  221
 0.000000+0 0.000000+0 3.810700+4 0.000000+0 0.000000+0 0.000000+09936 8454  222
 3.908600+4 0.000000+0 0.000000+0 0.000000+0 3.908600+4 1.000000+09936 8454  223
 0.000000+0 0.000000+0 3.908700+4 0.000000+0 7.36443-15 4.71324-159936 8454  224
 3.908700+4 1.000000+0 0.000000+0 0.000000+0 3.908800+4 0.000000+09936 8454  225
 1.88520-11 1.20653-11 3.908900+4 0.000000+0 2.10413-10 1.34664-109936 8454  226
 3.908900+4 1.000000+0 9.08804-10 5.81634-10 3.909000+4 0.000000+09936 8454  227
 1.540790-8 9.861030-9 3.909000+4 1.000000+0 2.189930-8 1.401560-89936 8454  228
 3.909100+4 0.000000+0 1.494160-7 9.562610-8 3.909100+4 1.000000+09936 8454  229
 6.453480-7 4.130230-7 3.909200+4 0.000000+0 9.297040-6 5.950100-69936 8454  230
 3.909300+4 0.000000+0 6.655750-5 4.259690-5 3.909300+4 1.000000+09936 8454  231
 1.021010-5 6.534470-6 3.909400+4 0.000000+0 3.596580-4 2.301810-49936 8454  232
 3.909500+4 0.000000+0 1.125710-3 7.204590-4 3.909600+4 0.000000+09936 8454  233
 2.427640-4 1.553680-4 3.909600+4 1.000000+0 2.160840-3 1.382940-39936 8454  234
 3.909700+4 0.000000+0 8.068420-4 5.163790-4 3.909700+4 1.000000+09936 8454  235
 3.484870-3 2.230320-3 3.909800+4 0.000000+0 4.785000-4 3.062420-49936 8454  236
